No.,md5hash,ec2 instance-id,title
1,0ea781f8d2f8b5fc50ddbfdd95776228,i-0b2d288779c9ff43d,Ensure root PATH Integrity. : File /root/.chefdk/gem/ruby/2.6.0/bin is expected to be directory
2,b1826e6072d70398dcc5f4a5d3e754d4,i-08fb7ae532171e2f6,Ensure chrony is installed and running. : System Package chrony is expected to be installed
3,8e0f91133a1f39b4200bbc1941c07616,i-08fb7ae532171e2f6,Ensure only strong MAC algorithms are used. : Command: `sshd -T | grep -i 'MACs'` stdout is expected not to match /hmac-sha1/
4,f312a8541c80301846bdb942e11fd971,i-0b2d288779c9ff43d,"Ensure events that modify user/group information are collected : Command: `auditbeat show auditd-rules | grep identity` stdout is expected to match /^-a (always,exit|exit,always) -S all -F path=\/etc\/security\/opasswd -F perm=(wa|aw) -F auid!=(-1|4294967295) -F key=identity/"
5,b5e98bd5b980a2212675ef21721b34bd,i-08fb7ae532171e2f6,"Ensure unsuccessful unauthorized file access attempts are collected : Command: `auditbeat show auditd-rules | grep access` stdout is expected to match /^-a (always,exit|exit,always) -F arch=b32 -S (.*ftruncate.*) -F exit=-EPERM -F auid>=(1000|ubuntu) -F auid!=(-1|4294967295) -F key=access/"
6,3617b2ef9277f24e89206e666472200c,i-0b2d288779c9ff43d,"Ensure use of privileged commands is collected : Command: `auditbeat show auditd-rules | grep privileged` stdout is expected to match /^-a (always,exit|exit,always) -S all -F path=\/usr\/bin\/chsh -F perm=x -F auid>=(1000|ubuntu) -F auid!=(-1|4294967295) -F key=privileged/"
7,a4b17914a2cf7b5d76b2f82e1491d0ff,i-08fb7ae532171e2f6,Ensure ICMP redirects are not accepted : Kernel Parameter net.ipv4.conf.all.accept_redirects value is expected to eq 0
8,95c3ea006a6627c74ba36d01bd22e0cc,i-0b2d288779c9ff43d,"Ensure auditbeat is installed, enabled and running. : System Package auditbeat is expected to be installed"
9,baa095455c10520ea302e18996bcb0e9,i-0b2d288779c9ff43d,"Ensure events that modify date and time information are collected : Command: `auditbeat show auditd-rules | grep time-change` stdout is expected to match /^-a (always,exit|exit,always) -F arch=b64 -S (.*clock_settime.*) -F auid!=(-1|4294967295) -F key=time-change/"
10,3ead8aee00dc4b759fca0d0f04c656e0,i-08fb7ae532171e2f6,"Ensure events that modify the system's network environment are collected : Command: `auditbeat show auditd-rules | grep system-locale` stdout is expected to match /^-a (always,exit|exit,always) -S all -F path=\/etc\/hosts -F perm=(wa|aw) -F auid!=(-1|4294967295) -F key=system-locale/"
